"Connect using 
""PLX-DAQ Simple Test""";;;;;;;;;
16:26:46;;5;;;;;;;
16:26:48;;5;;;;;;;
16:26:50;;5;;;;;;;
16:26:52;;5;;;;;;;
16:26:53;;5;;;;;;;
16:26:55;;5;;;;;;;
16:26:57;;5;;;;;;;
16:26:59;;5;;;;;;;
16:27:00;;5;;;;;;;
16:27:02;;5;;;;;;;
16:27:04;;5;;;;;;;
16:27:06;;5;;;;;;;
16:27:07;;6;;;;;;;
16:27:09;;5;;;;;;;
16:27:11;;5;;;;;;;
16:27:13;;5;;;;;;;
16:27:14;;5;;;;;;;
16:27:16;;5;;;;;;;
16:27:18;;5;;;;;;;
16:27:20;;5;;;;;;;
16:27:21;;5;;;;;;;
16:27:23;;5;;;;;;;
16:27:25;;5;;;;;;;
16:27:27;;5;;;;;;;
16:27:28;;5;;;;;;;
16:27:30;;5;;;;;;;
16:27:32;;5;;;;;;;
16:27:34;;5;;;;;;;
16:27:35;;5;;;;;;;
16:27:37;;5;;;;;;;
16:27:39;;5;;;;;;;
16:27:41;;5;;;;;;;
16:27:43;;5;;;;;;;
16:27:44;;5;;;;;;;
16:27:46;;5;;;;;;;
16:27:48;;5;;;;;;;
16:27:50;;5;;;;;;;
16:27:51;;5;;;;;;;
16:27:53;;6;;;;;;;
16:27:55;;6;;;;;;;
16:27:57;;5;;;;;;;
16:27:58;;6;;;;;;;
16:28:00;;5;;;;;;;
16:28:02;;5;;;;;;;
16:28:04;;5;;;;;;;
16:28:05;;5;;;;;;;
16:28:07;;5;;;;;;;
16:28:09;;5;;;;;;;
16:28:11;;5;;;;;;;
16:28:12;;6;;;;;;;
16:28:14;;5;;;;;;;
16:28:16;;5;;;;;;;
16:28:18;;5;;;;;;;
16:28:19;;5;;;;;;;
16:28:21;;5;;;;;;;
16:28:23;;5;;;;;;;
16:28:25;;5;;;;;;;
16:28:26;;5;;;;;;;
16:28:28;;5;;;;;;;
16:28:30;;5;;;;;;;
16:28:32;;5;;;;;;;
16:28:34;;5;;;;;;;
16:28:35;;5;;;;;;;
16:28:37;;5;;;;;;;
16:28:39;;5;;;;;;;
16:28:41;;5;;;;;;;
16:28:42;;5;;;;;;;
16:28:44;;5;;;;;;;
16:28:46;;5;;;;;;;
16:28:48;;5;;;;;;;
16:28:49;;5;;;;;;;
16:28:51;;5;;;;;;;
16:28:53;;5;;;;;;;
16:28:55;;5;;;;;;;
16:28:56;;5;;;;;;;
16:28:58;;5;;;;;;;
16:29:00;;5;;;;;;;
16:29:02;;5;;;;;;;
16:29:03;;5;;;;;;;
16:29:05;;5;;;;;;;
16:29:07;;5;;;;;;;
16:29:09;;5;;;;;;;
16:29:10;;5;;;;;;;
16:29:12;;5;;;;;;;
16:29:14;;5;;;;;;;
16:29:16;;5;;;;;;;
16:29:17;;5;;;;;;;
16:29:19;;6;;;;;;;
16:29:21;;6;;;;;;;
16:29:23;;5;;;;;;;
16:29:24;;5;;;;;;;
16:29:26;;5;;;;;;;
16:29:28;;5;;;;;;;
16:29:30;;5;;;;;;;
16:29:32;;5;;;;;;;
16:29:33;;5;;;;;;;
16:29:35;;6;;;;;;;
16:29:37;;5;;;;;;;
16:29:39;;5;;;;;;;
16:29:40;;5;;;;;;;
16:29:42;;5;;;;;;;
16:29:44;;6;;;;;;;
16:29:46;;6;;;;;;;
16:29:47;;6;;;;;;;
16:29:49;;6;;;;;;;
16:29:51;;6;;;;;;;
16:29:53;;6;;;;;;;
16:29:54;;5;;;;;;;
16:29:56;;6;;;;;;;
16:29:58;;6;;;;;;;
16:30:00;;6;;;;;;;
16:30:01;;6;;;;;;;
16:30:03;;6;;;;;;;
16:30:05;;6;;;;;;;
16:30:07;;6;;;;;;;
16:30:08;;5;;;;;;;
16:30:10;;5;;;;;;;
16:30:12;;6;;;;;;;
16:30:14;;6;;;;;;;
16:30:15;;6;;;;;;;
16:30:17;;6;;;;;;;
16:30:19;;6;;;;;;;
16:30:21;;6;;;;;;;
16:30:23;;6;;;;;;;
16:30:24;;6;;;;;;;
16:30:26;;5;;;;;;;
16:30:28;;6;;;;;;;
16:30:30;;6;;;;;;;
16:30:31;;6;;;;;;;
16:30:33;;6;;;;;;;
16:30:35;;6;;;;;;;
16:30:37;;6;;;;;;;
16:30:38;;6;;;;;;;
16:30:40;;6;;;;;;;
16:30:42;;6;;;;;;;
16:30:44;;6;;;;;;;
16:30:45;;6;;;;;;;
16:30:47;;6;;;;;;;
16:30:49;;6;;;;;;;
16:30:51;;6;;;;;;;
16:30:52;;6;;;;;;;
16:30:54;;6;;;;;;;
16:30:56;;6;;;;;;;
16:30:58;;6;;;;;;;
16:30:59;;6;;;;;;;
16:31:01;;6;;;;;;;
16:31:03;;6;;;;;;;
16:31:05;;6;;;;;;;
16:31:06;;6;;;;;;;
16:31:08;;6;;;;;;;
16:31:10;;6;;;;;;;
16:31:12;;6;;;;;;;
16:31:13;;5;;;;;;;
16:31:15;;6;;;;;;;
16:31:17;;6;;;;;;;
16:31:19;;6;;;;;;;
16:31:21;;7;;;;;;;
16:31:22;;7;;;;;;;
16:31:24;;6;;;;;;;
16:31:26;;7;;;;;;;
16:31:28;;6;;;;;;;
16:31:29;;6;;;;;;;
16:31:31;;6;;;;;;;
16:31:33;;7;;;;;;;
16:31:35;;7;;;;;;;
16:31:36;;6;;;;;;;
16:31:38;;6;;;;;;;
16:31:40;;6;;;;;;;
16:31:42;;6;;;;;;;
16:31:43;;6;;;;;;;
16:31:45;;6;;;;;;;
16:31:47;;6;;;;;;;
16:31:49;;6;;;;;;;
16:31:50;;6;;;;;;;
16:31:52;;6;;;;;;;
16:31:54;;6;;;;;;;
16:31:56;;7;;;;;;;
16:31:57;;6;;;;;;;
16:31:59;;6;;;;;;;
16:32:01;;6;;;;;;;
16:32:03;;6;;;;;;;
16:32:04;;6;;;;;;;
16:32:06;;6;;;;;;;
16:32:08;;6;;;;;;;
16:32:10;;6;;;;;;;
16:32:11;;6;;;;;;;
16:32:13;;6;;;;;;;
16:32:15;;6;;;;;;;
16:32:17;;6;;;;;;;
16:32:19;;6;;;;;;;
16:32:20;;7;;;;;;;
16:32:22;;6;;;;;;;
16:32:24;;6;;;;;;;
16:32:26;;6;;;;;;;
16:32:27;;6;;;;;;;
16:32:29;;6;;;;;;;
16:32:31;;6;;;;;;;
16:32:33;;7;;;;;;;
16:32:34;;6;;;;;;;
16:32:36;;6;;;;;;;
16:32:38;;6;;;;;;;
16:32:40;;6;;;;;;;
